Subscribe date,Stagename,Project type,Property kind,Source of lead,Amount,Lost reason,Lost date,Won,Cout du lead
2019-01-16,Perdu,primary_residence,,partner1,103,Dossier non finançable,,,
2019-02-08,Perdu,primary_residence,,partner1,76,Projet en recherche / Projet lointain,,,
2019-01-05,Perdu,primary_residence,,partner1,157,Projet arrêté,,,
2019-02-20,Gagné,rental_investment,old,partner1,137,,,1,
2019-02-13,Perdu,primary_residence,,partner1,175,Perdu contre autre banque,,,
2019-02-17,Perdu,rental_investment,old,partner1,212,Faux email & numéro,,,
2019-02-03,Perdu,primary_residence,,partner1,84,Dossier non finançable,,,
2019-03-22,Perdu,primary_residence,old,partner1,189,N'a jamais répondu (+5 appels),2019-08-30,,
2019-02-16,Perdu,primary_residence,,partner1,199,N'a jamais répondu (+5 appels),,,
2019-02-21,Perdu,primary_residence,,partner1,53,N'a jamais répondu (+5 appels),2019-03-06,,
2019-01-12,Perdu,primary_residence,,partner1,185,Ne souhaite pas faire ce dossier,,,
2019-02-01,Perdu,primary_residence,old,partner1,75,Perdu contre autre banque,2019-09-09,,
2019-01-06,Perdu,primary_residence,,partner1,208,Perdu contre autre banque,,,
2019-01-27,Perdu,primary_residence,,partner1,190,N'a jamais répondu (+5 appels),,,
2019-01-26,Perdu,primary_residence,,partner1,159,Projet arrêté,,,
2019-03-21,Perdu,primary_residence,old,partner1,131,Projet arrêté,2019-04-17,,
2019-03-22,Perdu,primary_residence,VEFA,partner1,166,N'a jamais répondu (+5 appels),2019-05-20,,
2019-01-07,Perdu,rental_investment,,partner1,139,N'a jamais répondu (+5 appels),,,
2019-01-16,Perdu,primary_residence,,partner1,199,Projet en recherche / Projet lointain,2019-09-19,,
2019-03-21,Perdu,primary_residence,new,partner1,169,Projet en recherche / Projet lointain,2019-06-18,,
2019-01-23,Perdu,primary_residence,,partner1,197,N'a jamais répondu (+5 appels),,,
2019-01-14,Perdu,primary_residence,old,partner1,163,A répondu mais ne répond plus (+5 appels),2019-09-05,,
2019-01-08,Perdu,rental_investment,,partner1,144,Ne souhaite pas faire ce dossier,,,
2019-02-09,Perdu,primary_residence,,partner1,153,Projet en recherche / Projet lointain,,,
2019-01-02,Perdu,primary_residence,,partner1,121,Projet en recherche / Projet lointain,,,
2019-01-04,Perdu,rental_investment,,partner1,87,Projet arrêté,,,
2019-03-21,Perdu,rental_investment,old,partner1,220,Projet en recherche / Projet lointain,2019-03-22,,
2019-03-21,Perdu,primary_residence,old,partner1,122,Perdu contre autre banque,2019-06-25,,
2019-01-06,Perdu,primary_residence,,partner1,208,N'a jamais répondu (+5 appels),,,
2019-02-10,Perdu,primary_residence,,partner1,84,Doublon,,,
2019-03-21,Perdu,primary_residence,old,partner1,85,Projet arrêté,2019-04-05,,
2019-03-26,Perdu,primary_residence,old,partner1,212,Perdu contre autre courtier,2019-04-02,,
2019-03-26,Perdu,primary_residence,old,partner1,244,A répondu mais ne répond plus (+5 appels),2019-06-27,,
2019-03-21,Perdu,rental_investment,VEFA,partner1,224,N'a jamais répondu (+5 appels),2019-04-29,,
2019-01-04,Perdu,rental_investment,,partner1,80,Projet en recherche / Projet lointain,,,
2019-03-05,Perdu,primary_residence,old,partner1,249,Projet en recherche / Projet lointain,,,
2019-01-19,Perdu,primary_residence,,partner1,102,A répondu mais ne répond plus (+5 appels),2019-06-04,,
2019-01-03,Perdu,primary_residence,,partner1,127,A répondu mais ne répond plus (+5 appels),2019-06-24,,
2019-02-09,Perdu,primary_residence,,partner1,235,N'a jamais répondu (+5 appels),,,
2019-01-13,Perdu,primary_residence,,partner1,164,Projet arrêté,,,
2019-02-10,Perdu,primary_residence,,partner1,200,Perdu contre autre banque,,,
2019-02-18,Perdu,primary_residence,old,partner1,89,N'a jamais répondu (+5 appels),,,
2019-01-16,Perdu,primary_residence,,partner1,209,Projet arrêté,,,
2019-03-21,Perdu,primary_residence,old,partner1,80,Perdu contre autre banque,2019-07-24,,
2019-01-16,Gagné,primary_residence,old,partner1,237,,,1,
2019-01-20,Perdu,primary_residence,,partner1,104,Projet en recherche / Projet lointain,,,
2019-01-01,Perdu,rental_investment,,partner1,120,Ne souhaite pas faire ce dossier,,,
2019-02-07,Perdu,primary_residence,,partner1,61,N'a jamais répondu (+5 appels),,,
2019-03-21,Perdu,primary_residence,VEFA,partner1,233,Dossier non finançable,2019-06-13,,
2019-03-25,Perdu,primary_residence,old,partner1,237,N'a jamais répondu (+5 appels),2019-05-31,,
2019-03-03,Perdu,rental_investment,old,partner10,185,Perdu contre autre banque,2019-05-15,,10
2019-03-14,Perdu,primary_residence,old,partner10,207,Perdu contre autre banque,2019-04-04,,10
2019-03-07,Gagné,primary_residence,old,partner10,276,,,1,10
2019-03-01,Gagné,rental_investment,old,partner10,204,,,1,10
2019-03-01,Gagné,primary_residence,old,partner10,188,,,1,10
2019-03-04,Perdu,rental_investment,old,partner10,245,Projet arrêté,,,10
2019-03-22,Perdu,primary_residence,old,partner10,220,Perdu contre autre banque,2019-05-02,,10
2019-03-13,Perdu,primary_residence,old,partner10,272,Perdu contre autre banque,2019-05-28,,10
2019-03-20,Perdu,primary_residence,old,partner10,278,Perdu contre autre banque,2019-04-13,,10
2019-03-25,Gagné,primary_residence,old,partner10,174,,,1,10
2019-03-27,Perdu,rental_investment,VEFA,partner10,259,A répondu mais ne répond plus (+5 appels),2019-05-10,,10
2019-03-19,Gagné,primary_residence,old,partner10,285,,,1,10
2019-03-29,Perdu,rental_investment,old,partner10,277,Faux email & numéro,2019-07-23,,10
2019-03-04,Perdu,rental_investment,old,partner10,272,Projet arrêté,2019-04-09,,10
2019-03-28,Perdu,rental_investment,old,partner10,228,Perdu contre autre banque,2019-06-06,,10
2019-03-29,Gagné,primary_residence,old,partner10,226,,,1,10
2019-03-04,Perdu,rental_investment,old,partner10,173,Projet en recherche / Projet lointain,2019-06-06,,10
2019-03-04,Perdu,primary_residence,VEFA,partner10,184,A répondu mais ne répond plus (+5 appels),,,10
2019-02-16,Perdu,primary_residence,,partner2,226,Projet en recherche / Projet lointain,,,
2019-03-04,Perdu,primary_residence,old,partner2,81,Faux email & numéro,2019-03-05,,
2019-01-09,Perdu,primary_residence,,partner2,157,Test,,,
2019-01-30,Perdu,rental_investment,,partner2,192,Dossier non finançable,,,
2019-03-27,Gagné,rental_investment,old,partner2,100,,,1,
2019-02-01,Perdu,rental_investment,,partner3,58,N'a jamais répondu (+5 appels),,,
2019-01-09,Perdu,primary_residence,,partner3,150,Perdu contre autre banque,2019-03-28,,
2019-01-20,Perdu,primary_residence,,partner3,141,N'a jamais répondu (+5 appels),2019-05-03,,
2019-03-04,Perdu,primary_residence,old,partner3,249,A répondu mais ne répond plus (+5 appels),,,
2019-03-01,Perdu,primary_residence,old,partner3,152,Perdu contre autre banque,2019-05-09,,
2019-01-20,Perdu,secondary_residence,,partner3,241,Projet arrêté,,,
2019-01-06,Perdu,primary_residence,old,partner3,206,Perdu contre autre courtier,,,
2019-01-15,Perdu,rental_investment,,partner3,188,Projet arrêté,2019-04-04,,
2019-03-18,Perdu,primary_residence,old,partner3,147,Projet en recherche / Projet lointain,,,
2019-01-08,Perdu,primary_residence,,partner3,69,Projet arrêté,,,
2019-01-11,Perdu,primary_residence,,partner3,172,A répondu mais ne répond plus (+5 appels),2019-03-06,,
2019-03-13,Perdu,primary_residence,old,partner3,211,Projet en recherche / Projet lointain,2019-09-17,,
2019-03-23,Perdu,primary_residence,old,partner3,69,Perdu contre autre banque,2019-07-12,,
2019-01-12,Perdu,primary_residence,old,partner3,67,Perdu contre autre banque,2019-10-03,,
2019-03-04,Perdu,primary_residence,old,partner3,132,N'a jamais répondu (+5 appels),2019-04-01,,
2019-01-29,Perdu,primary_residence,,partner3,213,N'a jamais répondu (+5 appels),,,
2019-02-28,Perdu,primary_residence,old,partner3,189,Projet en recherche / Projet lointain,2019-05-16,,
2019-02-10,Gagné,primary_residence,old,partner3,226,,,1,
2019-01-23,Perdu,primary_residence,,partner3,61,Projet en recherche / Projet lointain,,,
2019-03-13,Perdu,primary_residence,VEFA,partner3,185,A répondu mais ne répond plus (+5 appels),2019-10-03,,
2019-01-12,Perdu,primary_residence,,partner3,225,A répondu mais ne répond plus (+5 appels),,,
2019-01-15,Perdu,primary_residence,old,partner3,171,A répondu mais ne répond plus (+5 appels),2019-07-03,,
2019-03-20,Perdu,primary_residence,old,partner3,248,Perdu contre autre courtier,2019-06-13,,
2019-01-01,Perdu,primary_residence,,partner3,221,Perdu contre autre courtier,,,
2019-03-06,Perdu,primary_residence,old,partner3,136,Doublon,2019-06-04,,
2019-02-01,Perdu,primary_residence,,partner3,235,Perdu contre autre banque,2019-05-22,,
2019-03-19,Perdu,primary_residence,old,partner3,135,Perdu contre autre banque,2019-05-09,,
2019-03-09,Perdu,primary_residence,old,partner3,150,,2019-03-16,,
2019-01-04,Perdu,primary_residence,,partner3,127,Perdu contre autre banque,,,
2019-01-08,Perdu,primary_residence,,partner3,250,N'a jamais répondu (+5 appels),,,
2019-01-23,Perdu,rental_investment,old,partner3,246,Projet arrêté,2019-09-12,,
2019-02-13,Perdu,primary_residence,,partner3,62,A répondu mais ne répond plus (+5 appels),2019-03-08,,
2019-01-03,Perdu,primary_residence,,partner3,219,Perdu contre autre banque,,,
2019-01-10,Perdu,primary_residence,,partner3,198,Projet en recherche / Projet lointain,2019-04-03,,
2019-02-27,Perdu,rental_investment,old,partner3,235,Dossier non finançable,2019-04-16,,
2019-02-06,Perdu,rental_investment,,partner3,54,Perdu contre autre banque,,,
2019-01-14,Perdu,primary_residence,,partner3,125,N'a jamais répondu (+5 appels),,,
2019-02-15,Perdu,primary_residence,,partner3,197,N'a jamais répondu (+5 appels),,,
2019-02-28,Perdu,primary_residence,old,partner3,196,Perdu contre autre banque,2019-03-06,,
2019-02-02,Perdu,primary_residence,,partner3,179,Perdu contre autre courtier,2019-04-09,,
2019-01-29,Perdu,rental_investment,,partner3,96,N'a jamais répondu (+5 appels),,,
2019-03-19,Perdu,primary_residence,old,partner3,138,A répondu mais ne répond plus (+5 appels),2019-06-27,,
2019-03-05,Perdu,primary_residence,old,partner3,99,N'a jamais répondu (+5 appels),2019-03-15,,
2019-03-11,Gagné,primary_residence,old,partner3,129,,,1,
2019-02-27,Perdu,primary_residence,old,partner3,104,N'a jamais répondu (+5 appels),2019-05-22,,
2019-03-11,Perdu,primary_residence,new,partner4,115,Projet en recherche / Projet lointain,,,33
2019-03-08,Gagné,rental_investment,old,partner4,52,,,1,25
2019-03-09,Gagné,primary_residence,old,partner4,235,,,1,28
2019-03-01,Perdu,primary_residence,old,partner4,246,Dossier non finançable,,,32
2019-03-07,Perdu,primary_residence,land_construction,partner4,72,A répondu mais ne répond plus (+5 appels),2019-05-28,,32
2019-03-05,Perdu,primary_residence,new,partner4,229,N'a jamais répondu (+5 appels),2019-03-14,,34
2019-03-20,Perdu,primary_residence,old,partner4,224,Perdu contre autre banque,2019-03-27,,25
2019-03-15,Perdu,rental_investment,old,partner4,133,N'a jamais répondu (+5 appels),2019-04-24,,27
2019-03-02,Perdu,primary_residence,old,partner4,188,N'a jamais répondu (+5 appels),2019-03-13,,30
2019-03-13,Perdu,primary_residence,land_construction,partner4,246,A répondu mais ne répond plus (+5 appels),2019-03-28,,25
2019-03-08,Perdu,rental_investment,old,partner4,99,Perdu contre autre banque,2019-04-03,,29
2019-03-16,Perdu,primary_residence,old,partner4,74,A répondu mais ne répond plus (+5 appels),2019-05-17,,31
2019-03-02,Gagné,primary_residence,old,partner4,85,,,1,27
2019-03-16,Perdu,primary_residence,old,partner4,110,Dossier non finançable,2019-05-31,,26
2019-03-18,Perdu,primary_residence,old,partner4,178,Perdu contre autre courtier,2019-04-03,,31
2019-03-10,Gagné,primary_residence,old,partner4,105,,,1,25
2019-03-03,Perdu,primary_residence,old,partner4,66,Ne souhaite pas faire ce dossier,,,25
2019-03-18,Perdu,primary_residence,old,partner4,161,Perdu contre autre courtier,2019-03-22,,26
2019-03-26,Perdu,primary_residence,old,partner4,147,Perdu contre autre courtier,2019-04-26,,32
2019-03-18,Perdu,rental_investment,old,partner4,155,Perdu contre autre courtier,2019-04-20,,25
2019-03-23,Perdu,rental_investment,old,partner4,235,Dossier non finançable,2019-03-25,,30
2019-03-23,Perdu,primary_residence,VEFA,partner4,109,Projet arrêté,2019-08-30,,33
2019-03-17,Gagné,primary_residence,old,partner4,135,,,1,33
2019-03-07,Gagné,rental_investment,old,partner4,244,,,1,30
2019-03-25,Perdu,primary_residence,old,partner4,146,Perdu contre autre courtier,2019-03-29,,29
2019-03-06,Gagné,secondary_residence,old,partner4,157,,,1,28
2019-03-25,Gagné,primary_residence,old,partner4,54,,,1,31
2019-03-26,Perdu,primary_residence,old,partner4,148,Projet en recherche / Projet lointain,2019-09-23,,35
2019-03-03,Gagné,primary_residence,new,partner4,133,,,1,34
2019-03-04,Perdu,primary_residence,old,partner4,232,N'a jamais répondu (+5 appels),2019-03-13,,29
2019-03-04,Perdu,primary_residence,old,partner4,99,Perdu contre autre banque,2019-04-12,,35
2019-03-29,Perdu,primary_residence,old,partner4,222,Perdu contre autre banque,2019-06-22,,29
2019-03-27,Perdu,primary_residence,old,partner4,97,Perdu contre autre courtier,2019-04-02,,33
2019-03-07,Gagné,primary_residence,new,partner4,202,,,1,31
2019-03-18,Perdu,primary_residence,VEFA,partner4,171,N'a jamais répondu (+5 appels),2019-04-03,,27
2019-03-07,Perdu,primary_residence,land_construction,partner4,105,N'a jamais répondu (+5 appels),2019-03-20,,34
2019-03-25,Perdu,primary_residence,old,partner4,141,A répondu mais ne répond plus (+5 appels),2019-05-16,,26
2019-03-04,Perdu,primary_residence,old,partner4,139,Perdu contre autre courtier,2019-03-18,,26
2019-03-09,Perdu,primary_residence,land_construction,partner4,138,Projet arrêté,2019-04-03,,34
2019-03-18,Perdu,primary_residence,old,partner4,80,Faux email & numéro,2019-03-25,,25
2019-03-01,Perdu,primary_residence,old,partner4,105,Projet en recherche / Projet lointain,2019-07-24,,34
2019-03-09,Perdu,primary_residence,old,partner4,107,N'a jamais répondu (+5 appels),2019-03-20,,31
2019-03-04,Perdu,primary_residence,old,partner4,151,Dossier non finançable,2019-03-05,,34
2019-02-28,Perdu,primary_residence,VEFA,partner4,58,A répondu mais ne répond plus (+5 appels),2019-03-22,,29
2019-03-16,Perdu,rental_investment,land_construction,partner4,131,Dossier non finançable,2019-03-19,,27
2019-03-07,Perdu,rental_investment,old,partner4,128,A répondu mais ne répond plus (+5 appels),2019-06-25,,34
2019-03-25,Perdu,primary_residence,old,partner4,241,N'a jamais répondu (+5 appels),2019-05-29,,31
2019-03-05,Perdu,primary_residence,old,partner4,162,Projet en recherche / Projet lointain,2019-08-01,,32
2019-03-13,Perdu,primary_residence,old,partner4,112,Projet en recherche / Projet lointain,,,29
2019-03-23,Perdu,secondary_residence,new,partner4,122,Ne souhaite pas faire ce dossier,2019-04-04,,25
2019-03-01,Perdu,rental_investment,old,partner4,216,N'a jamais répondu (+5 appels),2019-03-08,,32
2019-03-02,Perdu,primary_residence,old,partner4,235,Perdu contre autre banque,2019-06-18,,30
2019-03-09,Perdu,primary_residence,VEFA,partner4,235,N'a jamais répondu (+5 appels),2019-03-20,,34
2019-03-09,Perdu,primary_residence,old,partner4,171,N'a jamais répondu (+5 appels),2019-03-20,,35
2019-03-27,Perdu,primary_residence,old,partner4,126,N'a jamais répondu (+5 appels),2019-04-26,,26
2019-03-05,Perdu,rental_investment,old,partner4,174,Perdu contre autre courtier,,,29
2019-03-04,Perdu,primary_residence,old,partner4,189,N'a jamais répondu (+5 appels),2019-03-13,,25
2019-03-04,Perdu,primary_residence,new,partner4,163,Perdu contre autre banque,2019-03-09,,25
2019-02-28,Perdu,primary_residence,land_construction,partner4,235,Ne souhaite pas faire ce dossier,2019-05-29,,29
2019-03-25,Perdu,primary_residence,old,partner4,131,A répondu mais ne répond plus (+5 appels),2019-06-25,,34
2019-03-21,Perdu,primary_residence,old,partner4,247,Client extrêmement difficile,2019-06-21,,32
2019-03-26,Perdu,rental_investment,VEFA,partner4,195,N'a jamais répondu (+5 appels),2019-04-23,,27
2019-03-07,Perdu,primary_residence,VEFA,partner4,118,Perdu contre autre courtier,2019-04-01,,34
2019-03-13,Perdu,primary_residence,old,partner4,88,A répondu mais ne répond plus (+5 appels),2019-04-04,,28
2019-03-07,Perdu,primary_residence,old,partner4,249,Projet en recherche / Projet lointain,2019-03-07,,33
2019-03-17,Perdu,rental_investment,old,partner4,158,,2019-03-19,,32
2019-03-04,Perdu,primary_residence,old,partner4,90,Projet en recherche / Projet lointain,2019-04-01,,30
2019-03-18,Perdu,primary_residence,old,partner4,101,N'a jamais répondu (+5 appels),2019-04-29,,26
2019-03-07,Perdu,primary_residence,old,partner4,201,Perdu contre autre courtier,2019-03-22,,29
2019-03-08,Perdu,primary_residence,old,partner4,237,Perdu contre autre courtier,2019-03-18,,27
2019-03-18,Perdu,rental_investment,old,partner4,70,N'a jamais répondu (+5 appels),2019-03-28,,29
2019-03-08,Perdu,primary_residence,old,partner4,84,Projet en recherche / Projet lointain,2019-06-25,,26
2019-03-25,Perdu,primary_residence,old,partner4,123,Perdu contre autre banque,2019-04-02,,33
2019-03-23,Perdu,primary_residence,old,partner4,64,N'a jamais répondu (+5 appels),2019-04-11,,30
2019-03-05,Perdu,primary_residence,land_construction,partner4,229,N'a jamais répondu (+5 appels),2019-03-14,,33
2019-03-21,Perdu,primary_residence,old,partner4,158,N'a jamais répondu (+5 appels),2019-04-23,,31
2019-03-07,Perdu,primary_residence,old,partner4,75,Perdu contre autre banque,2019-03-11,,32
2019-02-28,Perdu,rental_investment,old,partner4,122,Dossier non finançable,,,28
2019-03-05,Perdu,primary_residence,old,partner4,181,Dossier non finançable,2019-03-14,,25
2019-03-04,Perdu,primary_residence,old,partner4,156,N'a jamais répondu (+5 appels),2019-03-13,,30
2019-03-04,Perdu,rental_investment,old,partner4,111,N'a jamais répondu (+5 appels),2019-03-12,,28
2019-03-22,Perdu,primary_residence,old,partner4,158,N'a jamais répondu (+5 appels),2019-04-29,,35
2019-03-19,Perdu,primary_residence,land_construction,partner4,140,,2019-03-25,,33
2019-02-28,Perdu,primary_residence,old,partner4,158,A répondu mais ne répond plus (+5 appels),2019-06-26,,30
2019-03-10,Perdu,primary_residence,old,partner4,60,Projet arrêté,2019-03-14,,30
2019-03-17,Perdu,primary_residence,old,partner4,219,N'a jamais répondu (+5 appels),2019-04-23,,33
2019-03-11,Perdu,primary_residence,old,partner4,148,Projet en recherche / Projet lointain,2019-05-13,,26
2019-03-06,Perdu,primary_residence,old,partner4,78,N'a jamais répondu (+5 appels),2019-03-15,,31
2019-03-04,Perdu,primary_residence,old,partner4,120,N'a jamais répondu (+5 appels),2019-03-13,,26
2019-03-05,Perdu,primary_residence,old,partner4,228,Dossier non finançable,2019-03-11,,30
2019-03-21,Perdu,primary_residence,old,partner4,193,Projet arrêté,2019-03-22,,31
2019-03-27,Perdu,primary_residence,old,partner4,177,Perdu contre autre banque,2019-04-08,,29
2019-03-06,Perdu,primary_residence,old,partner4,236,Perdu contre autre banque,2019-05-15,,35
2019-03-28,Perdu,primary_residence,old,partner4,208,Ne souhaite pas faire ce dossier,2019-04-17,,30
2019-03-20,Perdu,primary_residence,old,partner4,231,N'a jamais répondu (+5 appels),2019-04-18,,28
2019-03-28,Perdu,primary_residence,old,partner4,57,Perdu contre autre banque,2019-05-20,,29
2019-03-13,Perdu,primary_residence,old,partner4,217,Perdu contre autre courtier,2019-03-19,,25
2019-03-02,Perdu,primary_residence,old,partner4,189,Perdu contre autre banque,2019-04-01,,35
2019-03-08,Perdu,primary_residence,land_construction,partner4,250,A répondu mais ne répond plus (+5 appels),2019-04-04,,26
2019-03-13,Perdu,primary_residence,old,partner4,141,Perdu contre autre courtier,2019-03-15,,31
2019-03-26,Perdu,primary_residence,new,partner4,192,N'a jamais répondu (+5 appels),2019-05-31,,35
2019-03-03,Perdu,primary_residence,old,partner4,123,Projet arrêté,2019-03-08,,27
2019-03-04,Perdu,rental_investment,old,partner4,167,Perdu contre autre courtier,2019-04-03,,26
2019-03-12,Perdu,primary_residence,old,partner4,63,N'a jamais répondu (+5 appels),2019-05-22,,35
2019-03-29,Perdu,primary_residence,VEFA,partner4,209,Projet arrêté,2019-06-24,,29
2019-03-12,Perdu,primary_residence,old,partner4,62,N'a jamais répondu (+5 appels),2019-04-11,,31
2019-03-02,Perdu,primary_residence,old,partner4,199,Perdu contre autre banque,2019-03-28,,28
2019-03-11,Perdu,primary_residence,old,partner4,214,Perdu contre autre courtier,2019-03-15,,27
2019-03-13,Perdu,primary_residence,old,partner4,149,A répondu mais ne répond plus (+5 appels),2019-04-26,,25
2019-03-06,Perdu,rental_investment,old,partner4,108,A répondu mais ne répond plus (+5 appels),2019-04-15,,32
2019-03-15,Perdu,primary_residence,old,partner4,187,Projet en recherche / Projet lointain,2019-09-18,,35
2019-03-27,Perdu,primary_residence,old,partner4,68,Dossier non finançable,2019-04-29,,31
2019-03-10,Perdu,primary_residence,old,partner4,153,A répondu mais ne répond plus (+5 appels),2019-05-09,,33
2019-03-08,Perdu,rental_investment,old,partner4,96,Dossier non finançable,2019-03-15,,30
2019-02-28,Perdu,primary_residence,old,partner4,123,Projet arrêté,2019-03-07,,32
2019-03-02,Perdu,primary_residence,old,partner4,105,Perdu contre autre courtier,2019-05-09,,32
2019-03-02,Perdu,primary_residence,old,partner4,194,Perdu contre autre banque,2019-03-07,,33
2019-03-07,Perdu,rental_investment,old,partner4,233,Dossier non finançable,2019-03-19,,33
2019-03-25,Perdu,primary_residence,old,partner4,200,Perdu contre autre courtier,2019-09-24,,27
2019-03-05,Perdu,rental_investment,old,partner4,78,Perdu contre autre banque,2019-03-11,,25
2019-03-29,Perdu,primary_residence,old,partner4,139,Dossier non finançable,2019-04-05,,25
2019-03-07,Perdu,primary_residence,old,partner4,110,N'a jamais répondu (+5 appels),2019-03-15,,26
2019-03-16,Perdu,rental_investment,old,partner4,138,N'a jamais répondu (+5 appels),2019-05-10,,33
2019-03-29,Perdu,primary_residence,old,partner4,118,N'a jamais répondu (+5 appels),2019-04-29,,32
2019-03-02,Perdu,primary_residence,old,partner4,107,N'a jamais répondu (+5 appels),2019-06-19,,33
2019-03-02,Perdu,primary_residence,old,partner4,128,N'a jamais répondu (+5 appels),2019-03-13,,34
2019-03-11,Perdu,primary_residence,old,partner4,93,Projet arrêté,2019-04-05,,28
2019-03-15,Perdu,primary_residence,new,partner4,102,Perdu contre autre courtier,2019-03-19,,29
2019-03-02,Perdu,primary_residence,old,partner4,136,Perdu contre autre banque,2019-04-12,,31
2019-03-07,Perdu,primary_residence,VEFA,partner4,134,Perdu contre autre courtier,2019-09-06,,27
2019-03-03,Perdu,primary_residence,old,partner4,135,Perdu contre autre banque,2019-03-19,,30
2019-03-29,Perdu,primary_residence,old,partner4,176,Perdu contre autre courtier,2019-03-30,,31
2019-03-17,Perdu,primary_residence,new,partner4,83,Projet en recherche / Projet lointain,2019-03-21,,32
2019-03-18,Perdu,primary_residence,old,partner4,65,Perdu contre autre banque,2019-04-02,,35
2019-03-07,Perdu,primary_residence,land_construction,partner4,98,Perdu contre autre courtier,2019-03-18,,25
2019-03-07,Perdu,primary_residence,old,partner4,230,N'a jamais répondu (+5 appels),2019-03-15,,32
2019-03-12,Perdu,primary_residence,VEFA,partner4,136,Perdu contre autre banque,2019-03-21,,35
2019-03-03,Perdu,primary_residence,old,partner4,96,N'a jamais répondu (+5 appels),2019-03-13,,29
2019-03-05,Perdu,primary_residence,old,partner4,143,A répondu mais ne répond plus (+5 appels),2019-04-04,,33
2019-02-28,Perdu,primary_residence,old,partner4,166,A répondu mais ne répond plus (+5 appels),2019-03-28,,31
2019-03-27,Perdu,rental_investment,old,partner4,124,Perdu contre autre banque,2019-04-24,,28
2019-03-21,Perdu,primary_residence,old,partner4,159,Ne souhaite pas faire ce dossier,2019-04-08,,29
